PID,RELS_EXT_isMemberOfCollection_uri_ms,RELS_EXT_hasModel_uri_ms,RELS_EXT_isPageOf_uri_ms,dc.title,last_nonpremis_audit_date
nearbystudies:703,"info:fedora/nearbystudies:481, info:fedora/dsu:testobjects",info:fedora/islandora:sp_basic_image,,Tanya Mars archive imagesssssssssssssss,2019-04-01 21:11:43.238
nearbystudies:884,"info:fedora/nearbystudies:477, info:fedora/nearbystudies:summer2015, info:fedora/islandora:oralhistories_collection, info:fedora/dsu:testobjects",info:fedora/islandora:oralhistoriesCModel,,Diane Hill: Oral History,2019-04-01 03:11:53.353
